date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2007-04-12,JHSF3,JHSF3,8.05,8.39,8.01,8.3,8.3,5339100,8.05,8.39,8.01,8.3,1.0,8.39,8.01,0,5339100,3321,43512163.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-04-13,JHSF3,JHSF3,8.2,8.25,8.01,8.2,8.2,453000,8.2,8.25,8.01,8.2,1.0,8.25,8.01,0,453000,382,3707583.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-04-16,JHSF3,JHSF3,8.05,8.16,8.05,8.15,8.15,117000,8.05,8.16,8.05,8.15,1.0,8.16,8.05,0,117000,172,952708.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-04-17,JHSF3,JHSF3,8.15,8.2,8.14,8.15,8.15,70000,8.15,8.2,8.14,8.15,1.0,8.2,8.14,0,70000,123,571144.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-04-18,JHSF3,JHSF3,8.06,8.11,8.05,8.1,8.1,44100,8.06,8.11,8.05,8.1,1.0,8.11,8.05,0,44100,82,357040.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-04-19,JHSF3,JHSF3,8.1,8.19,8.09,8.15,8.15,66800,8.1,8.19,8.09,8.15,1.0,8.19,8.09,0,66800,85,543478.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-04-20,JHSF3,JHSF3,8.1,8.2,8.1,8.15,8.15,220200,8.1,8.2,8.1,8.15,1.0,8.2,8.1,0,220200,119,1793389.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-04-23,JHSF3,JHSF3,8.14,8.31,8.1,8.15,8.15,342900,8.14,8.31,8.1,8.15,1.0,8.31,8.1,0,342900,163,2805324.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-04-24,JHSF3,JHSF3,8.02,8.35,8.02,8.3,8.3,201700,8.02,8.35,8.02,8.3,1.0,8.35,8.02,0,201700,107,1668729.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-04-25,JHSF3,JHSF3,8.2,8.3,8.15,8.25,8.25,803200,8.2,8.3,8.15,8.25,1.0,8.3,8.15,0,803200,95,6632932.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-04-26,JHSF3,JHSF3,8.07,8.25,8.05,8.25,8.25,19700,8.07,8.25,8.05,8.25,1.0,8.25,8.05,0,19700,21,161806.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-04-27,JHSF3,JHSF3,8.25,8.3,8.25,8.3,8.3,22500,8.25,8.3,8.25,8.3,1.0,8.3,8.25,0,22500,36,185992.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-04-30,JHSF3,JHSF3,8.25,8.3,8.25,8.3,8.3,6300,8.25,8.3,8.25,8.3,1.0,8.3,8.25,0,6300,20,52246.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
